title,company,location,tags,apply_link,date,source
ML Engineer,HashiCorp,Remote (EU),"Python, Django, PostgreSQL, Docker",https://example.com/jobs/1,2026-04-26T04:01:24,Jobicy
DevOps Engineer,HashiCorp,"Berlin, DE","Python, Django, PostgreSQL, Docker",https://example.com/jobs/2,2026-04-10T04:01:24,RemoteOK
Cloud Architect,Stripe,"Berlin, DE","Python, Django, PostgreSQL, Docker",https://example.com/jobs/3,2026-04-13T04:01:24,Jobicy
Python Developer,Cloudflare,"Berlin, DE","Python, Django, PostgreSQL, Docker",https://example.com/jobs/4,2026-04-18T04:01:24,Jobicy
Full Stack Developer,GitHub,Remote,"Python, Django, PostgreSQL, Docker",https://example.com/jobs/5,2026-04-04T04:01:24,RemoteOK
DevOps Engineer,Notion,"New York, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/6,2026-04-27T04:01:24,Jobicy
ML Engineer,HashiCorp,Remote,"Python, Django, PostgreSQL, Docker",https://example.com/jobs/7,2026-04-20T04:01:24,Jobicy
Cloud Architect,Notion,"New York, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/8,2026-04-21T04:01:24,Jobicy
Site Reliability Engineer,Vercel,"San Francisco, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/9,2026-04-20T04:01:24,Jobicy
Backend Developer,Linear,"New York, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/10,2026-04-23T04:01:24,RemoteOK
Python Developer,Vercel,"New York, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/11,2026-04-14T04:01:24,Jobicy
Python Developer,Shopify,Remote (EU),"Python, Django, PostgreSQL, Docker",https://example.com/jobs/12,2026-03-31T04:01:24,Jobicy
Python Developer,Notion,"London, UK","Python, Django, PostgreSQL, Docker",https://example.com/jobs/13,2026-04-14T04:01:24,Jobicy
Full Stack Developer,Vercel,"New York, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/14,2026-04-07T04:01:24,RemoteOK
Senior Data Engineer,Vercel,"New York, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/15,2026-04-07T04:01:24,Jobicy
Backend Developer,GitHub,"Berlin, DE","Python, Django, PostgreSQL, Docker",https://example.com/jobs/16,2026-04-10T04:01:24,RemoteOK
Python Developer,Stripe,"San Francisco, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/17,2026-04-16T04:01:24,Jobicy
Backend Developer,Notion,Remote (EU),"Python, Django, PostgreSQL, Docker",https://example.com/jobs/18,2026-04-27T04:01:24,Jobicy
Full Stack Developer,Stripe,Remote,"Python, Django, PostgreSQL, Docker",https://example.com/jobs/19,2026-04-09T04:01:24,Jobicy
DevOps Engineer,Cloudflare,"London, UK","Python, Django, PostgreSQL, Docker",https://example.com/jobs/20,2026-04-05T04:01:24,RemoteOK
DevOps Engineer,Shopify,"San Francisco, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/21,2026-04-01T04:01:24,Jobicy
Site Reliability Engineer,Stripe,Remote,"Python, Django, PostgreSQL, Docker",https://example.com/jobs/22,2026-04-09T04:01:24,RemoteOK
Python Developer,GitHub,"Berlin, DE","Python, Django, PostgreSQL, Docker",https://example.com/jobs/23,2026-03-29T04:01:24,Jobicy
DevOps Engineer,Linear,"San Francisco, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/24,2026-04-16T04:01:24,RemoteOK
Senior Data Engineer,Linear,"New York, US","Python, Django, PostgreSQL, Docker",https://example.com/jobs/25,2026-04-08T04:01:24,Jobicy
